"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime"
1053,16770,"FA18UCpost","dccs",3.81579,4,3.26498,"2018-11-27 09:13:48"
1052,16771,"FA18UCpost","dccs",6.66845,4,2.61439,"2018-11-27 09:19:20"
1051,16772,"FA18UCpost","dccs",3.15789,3,4.59807,"2018-11-27 09:24:06"
1050,16773,"FA18UCpost","dccs",3.46154,3,2.48673,"2018-11-27 09:20:48"
1049,16774,"FA18UCpost","dccs",7.41073,5,2.66073,"2018-12-04 09:04:07"
1048,16775,"FA18UCpost","dccs",6.84395,5,2.22856,"2018-11-27 09:14:58"
1047,16776,"FA18UCpost","dccs",3.20513,3,3.12931,"2018-11-27 09:20:58"
1045,16777,"FA18UCpost","dccs",7.73372,5,2.99013,"2018-11-27 09:23:04"
1044,16778,"FA18UCpost","dccs",7.59347,5,2.85663,"2018-11-27 09:13:01"
1043,16779,"FA18UCpost","dccs",7.33842,4,2.86473,"2018-11-27 09:15:32"
1042,16780,"FA18UCpost","dccs",7.83783,5,2.83783,"2018-11-27 09:11:24"
1041,16781,"FA18UCpost","dccs",3.78378,4,2.80071,"2018-11-27 09:13:54"
1040,16782,"FA18UCpost","dccs",3.84615,4,2.63988,"2018-11-27 09:11:01"
1039,16783,"FA18UCpost","dccs",6.79107,5,2.17568,"2018-11-27 09:17:11"
1038,16784,"FA18UCpost","dccs",6.71863,4,2.48786,"2018-12-04 09:06:42"
1037,16785,"FA18UCpost","dccs",7.65762,5,2.91403,"2018-11-27 09:17:45"
1036,16786,"FA18UCpost","dccs",7.99443,5,2.99443,"2018-12-04 09:08:09"
1035,16787,"FA18UCpost","dccs",7.81659,4,3.32941,"2018-11-27 09:15:12"
1034,16789,"FA18UCpost","dccs",6.55237,4,2.06519,"2018-11-27 09:14:03"
1033,16790,"FA18UCpost","dccs",7.33735,5,2.72197,"2018-11-27 09:18:54"
1032,16791,"FA18UCpost","dccs",5.92013,4,1.68936,"2018-11-27 09:25:10"
1031,16792,"FA18UCpost","dccs",5,5,0,"2018-11-27 09:12:25"
1029,16795,"FA18UCpost","dccs",8.17809,5,3.58349,"2018-11-27 09:52:42"
1028,16796,"FA18UCpost","dccs",3.33333,3,1.79098,"2018-12-04 09:52:21"
1027,16797,"FA18UCpost","dccs",6.67879,5,1.9352,"2018-11-27 10:06:51"
1026,16799,"FA18UCpost","dccs",6.78459,4,2.3109,"2018-11-27 09:54:42"
1025,16800,"FA18UCpost","dccs",3.58974,4,2.27656,"2018-11-27 09:59:18"
1024,16801,"FA18UCpost","dccs",8.39609,5,3.52767,"2018-11-27 09:51:07"
1023,16802,"FA18UCpost","dccs",3.71795,4,2.47199,"2018-11-27 09:54:38"
1022,16803,"FA18UCpost","dccs",7.66298,5,3.03798,"2018-12-04 09:47:40"
1021,16804,"FA18UCpost","dccs",7.35538,5,2.6411,"2018-11-27 09:50:10"
1020,16805,"FA18UCpost","dccs",7.65483,5,3.03945,"2018-12-04 09:44:41"
1019,16807,"FA18UCpost","dccs",8.01672,5,3.27313,"2018-11-27 09:53:13"
1018,16808,"FA18UCpost","dccs",2.82051,3,1.91325,"2018-11-27 10:00:52"
1017,16809,"FA18UCpost","dccs",6.55641,4,2.32564,"2018-12-04 10:02:32"
1016,16810,"FA18UCpost","dccs",7.80064,4,3.34118,"2018-11-27 09:56:16"
1015,16811,"FA18UCpost","dccs",7.46973,5,2.46973,"2018-12-04 09:50:03"
1014,16812,"FA18UCpost","dccs",7.7407,5,3.13544,"2018-11-27 09:59:54"
1013,16813,"FA18UCpost","dccs",5,5,0,"2018-11-27 09:55:08"
1011,16814,"FA18UCpost","dccs",8.85917,5,4.2539,"2018-11-27 09:53:19"
1010,16815,"FA18UCpost","dccs",3.75,4,0.215158,"2018-11-27 09:58:15"
1007,16816,"FA18UCpost","dccs",9.08128,5,4.08128,"2018-11-27 10:09:08"
1006,16817,"FA18UCpost","dccs",7.49748,5,2.75389,"2018-12-04 09:46:22"
1005,16818,"FA18UCpost","dccs",7.63744,5,2.63744,"2018-11-27 10:03:48"
1004,16820,"FA18UCpost","dccs",8.9121,5,4.04368,"2018-11-27 11:20:05"
1003,16821,"FA18UCpost","dccs",0,4,0,"2018-11-27 11:24:35"
1002,16822,"FA18UCpost","dccs",7.59334,5,2.99875,"2018-11-27 11:20:23"
1001,16823,"FA18UCpost","dccs",5,5,0,"2018-11-27 11:33:59"
1000,16824,"FA18UCpost","dccs",7.45381,5,2.84855,"2018-11-27 11:18:26"
999,16825,"FA18UCpost","dccs",7.35485,4,2.99587,"2018-11-27 11:19:27"
998,16826,"FA18UCpost","dccs",8.33781,5,3.33781,"2018-11-27 11:19:12"
997,16827,"FA18UCpost","dccs",5.61061,4,1.50805,"2018-11-27 11:26:18"
996,16829,"FA18UCpost","dccs",7.67399,5,3.05861,"2018-11-27 11:21:35"
995,16830,"FA18UCpost","dccs",7.86092,5,3.24553,"2018-11-27 11:17:02"
